redshift,stellar_mass,deVRad_r,deVAB_r,expRad_r,expAB_r,class,class_label
0.048096,10.642694,6.055902,0.613006,3.575483,0.519457,1,spiral
0.062509,11.518373,10.59594,0.631542,5.563209,0.620282,0,elliptical
0.089931,10.683678,3.363955,0.571397,1.94021,0.626922,1,spiral
0.051296,10.578798,3.303546,0.265656,2.369305,0.301659,1,spiral
0.107117,10.238853,10.181945,0.331512,4.24705,0.364165,1,spiral
0.065439,10.442895,3.389777,0.487773,1.914788,0.558763,1,spiral
0.127842,10.988585,4.456823,0.461333,2.363428,0.509688,1,spiral
0.062018,11.480054,8.628164,0.691723,5.460909,0.642632,0,elliptical
0.166888,11.015896,2.361415,0.627483,1.289706,0.744645,1,spiral
0.209054,11.236549,1.695026,0.660706,1.014836,0.710252,1,spiral
0.0842,11.296009,5.507552,0.525332,3.505524,0.513921,0,elliptical
0.074963,10.796874,13.294692,0.579392,6.236462,0.579108,1,spiral
0.077904,11.230186,3.886672,0.723177,2.098423,0.733336,0,elliptical
0.090068,10.093349,7.157936,0.866343,2.908757,0.887978,1,spiral
0.088239,9.909039,5.327216,0.366135,2.581619,0.408724,1,spiral
0.08777,11.331427,4.354206,0.75887,2.38928,0.77256,0,elliptical
0.07604,11.19414,4.062594,0.822034,2.765844,0.763163,0,elliptical
0.094543,10.151341,5.660536,0.809543,2.502549,0.825416,1,spiral
0.125802,10.678321,7.142483,0.629681,3.088603,0.660607,1,spiral
0.230787,11.141475,3.434241,0.728172,1.83065,0.717861,0,elliptical
0.085838,10.847272,16.951544,0.251817,6.354771,0.27501,1,spiral
0.047601,11.031387,6.301836,0.728765,4.37883,0.681954,0,elliptical
0.047138,9.616385,17.391985,0.537653,5.909781,0.585141,1,spiral
0.095082,10.999968,8.461102,0.391427,3.852502,0.411275,1,spiral
0.085433,11.039133,3.198552,0.701918,1.906589,0.71517,0,elliptical
0.033072,9.600967,12.319982,0.208583,5.608627,0.227308,1,spiral
0.046468,10.512634,3.525112,0.725569,2.333243,0.685065,0,elliptical
0.072874,10.195462,7.939378,0.418757,3.559157,0.441536,1,spiral
0.088526,11.174479,4.342711,0.851005,2.319697,0.831166,0,elliptical
0.137712,11.01178,15.34763,0.080024,5.926767,0.133001,1,spiral
0.032186,9.93179,15.709485,0.267999,6.20372,0.273128,1,spiral
0.035404,9.44934,15.87964,0.24667,6.109409,0.266484,1,spiral
0.083439,10.576591,2.230496,0.373779,1.39266,0.458874,1,spiral
0.065746,10.267179,7.049742,0.445228,3.398929,0.448747,1,spiral
0.044834,10.64255,10.744849,0.518975,5.547927,0.464144,1,spiral
0.033373,10.932199,8.028004,0.672962,4.985745,0.683748,1,spiral
0.092838,10.78716,2.100576,0.632093,1.292751,0.665191,1,spiral
0.032409,9.638924,10.962308,0.395292,4.652638,0.415004,1,spiral
0.040439,9.910633,5.331748,0.725598,2.494936,0.763876,0,elliptical
0.095323,11.008225,2.069606,0.915309,1.439123,0.823433,0,elliptical
0.190908,11.270762,1.518333,0.69714,1.008732,0.742725,0,elliptical
0.045235,10.964179,4.898501,0.734441,3.520563,0.680434,0,elliptical
0.121516,10.794865,2.804138,0.639852,1.54398,0.593437,1,spiral
0.184329,11.349908,1.768829,0.899041,1.063742,0.921284,0,elliptical
0.046003,11.149819,4.671139,0.786451,3.577093,0.760781,0,elliptical
0.095064,10.496682,2.698413,0.259822,1.843177,0.305914,1,spiral
0.216088,11.458881,2.126211,0.885701,1.035765,0.933754,0,elliptical
0.096108,10.804352,7.938715,0.327381,3.543123,0.353791,1,spiral
0.126438,10.29985,2.122093,0.852431,1.263126,0.879576,1,spiral
0.09747,10.789457,2.145853,0.279954,1.60741,0.342498,1,spiral
0.069853,10.283148,4.76055,0.446942,2.546957,0.475536,1,spiral
0.116953,11.365944,2.773947,0.897351,1.834132,0.879209,0,elliptical
0.095967,11.027991,5.01783,0.459074,2.501568,0.482193,1,spiral
0.043296,9.625029,13.643725,0.999674,4.770624,0.986684,1,spiral
0.062911,10.357793,15.359251,0.730278,5.465712,0.726902,1,spiral
0.090175,11.193803,7.186575,0.662832,2.783428,0.66346,1,spiral
0.058384,10.091779,9.067195,0.329279,4.089817,0.349975,1,spiral
0.01202,9.796802,29.669777,0.923756,20.0434,0.71081,1,spiral
0.020649,9.820428,29.661165,0.932001,13.734077,0.865243,1,spiral
0.143514,10.440516,9.890648,0.680782,3.487723,0.750695,1,spiral
0.052557,10.073213,14.786876,0.73346,5.039681,0.755427,1,spiral
0.075236,10.455495,3.45523,0.616515,2.045444,0.626361,1,spiral
0.092275,10.864181,5.389876,0.223501,2.901298,0.280652,1,spiral
0.04902,11.527272,20.414206,0.767248,11.547598,0.817307,1,spiral
0.098129,11.253754,2.914443,0.932998,1.86612,0.891321,0,elliptical
0.144016,11.06832,7.807406,0.849272,3.064766,0.829524,1,spiral
0.095842,10.936038,4.289685,0.715096,2.452653,0.657959,1,spiral
0.094817,10.473515,5.210158,0.725317,2.470694,0.734033,1,spiral
0.062097,10.396727,3.372613,0.23051,2.089479,0.253705,1,spiral
0.070084,10.480649,1.797143,0.669577,1.226225,0.693323,1,spiral
0.094983,10.538557,4.564437,0.353797,2.485444,0.381626,1,spiral
0.216599,11.277414,3.056556,0.508685,1.552351,0.563747,1,spiral
0.093836,10.907116,3.865196,0.598165,2.427799,0.588394,1,spiral
0.049406,10.592457,1.977009,0.81605,1.507825,0.775636,0,elliptical
0.096587,10.311991,5.226183,0.870153,2.39376,0.846443,1,spiral
0.046603,10.401075,8.566464,0.205127,4.537082,0.213532,1,spiral
0.071375,10.964158,3.542323,0.243239,2.443348,0.304286,1,spiral
0.092651,10.836269,12.322514,0.537752,4.049833,0.578595,1,spiral
0.096797,10.770662,8.135371,0.233887,3.774958,0.265787,1,spiral
0.095329,11.523612,6.923472,0.787556,3.015548,0.819404,0,elliptical
0.061457,9.816882,10.566698,0.182097,4.889231,0.2,1,spiral
0.062515,9.735887,10.252175,0.421048,3.934696,0.45612,1,spiral
0.093892,10.510135,3.732361,0.414243,1.989865,0.46045,1,spiral
0.084115,10.298467,12.439456,0.158025,5.293343,0.170507,1,spiral
0.065708,10.824469,19.119558,0.187742,7.401592,0.20638,1,spiral
0.096244,10.461254,5.116457,0.52712,2.444571,0.547444,1,spiral
0.054092,10.466694,0.757067,0.834655,0.77132,0.881617,0,elliptical
0.092215,10.002704,6.371874,0.681117,2.541075,0.72401,1,spiral
0.056204,10.644322,17.58264,0.36923,6.013482,0.409694,1,spiral
0.097637,9.993541,9.908,0.803375,3.802835,0.811885,1,spiral
0.031685,9.873025,3.9406,0.750034,2.30287,0.776916,0,elliptical
0.238927,11.450648,1.528724,0.610578,1.026405,0.624082,0,elliptical
0.072479,10.308785,6.374448,0.449904,3.017552,0.45,1,spiral
0.094701,10.890986,2.576795,0.444245,1.662078,0.509826,1,spiral
0.086983,10.034017,9.424675,0.411381,3.776955,0.439288,1,spiral
0.035254,9.336088,9.880484,0.788703,3.751269,0.794286,1,spiral
0.095777,10.159067,5.114351,0.736408,2.34511,0.748684,1,spiral
0.114823,10.573276,1.368895,0.487027,0.996324,0.530313,1,spiral
0.145606,11.253794,2.29124,0.890056,1.299101,0.884532,0,elliptical
0.186986,11.068514,3.048914,0.633031,1.615504,0.592023,1,spiral
0.043465,10.286464,12.603977,0.611583,6.187108,0.584606,1,spiral
0.138039,10.845499,9.592074,0.9359,3.564951,0.969575,1,spiral
0.094124,10.566606,1.760521,0.354117,1.26718,0.379476,0,elliptical
0.098085,10.592848,6.688953,0.468015,3.771697,0.434044,1,spiral
0.147979,11.235393,2.286362,0.329353,1.520326,0.363856,1,spiral
0.094031,10.623142,8.744923,0.536014,3.652257,0.562394,1,spiral
0.065156,9.926712,10.402442,0.216965,4.837461,0.234938,1,spiral
0.083258,10.117093,2.546293,0.741115,1.492093,0.73283,1,spiral
0.115168,10.735331,1.52132,0.76423,1.033625,0.819875,1,spiral
0.160197,11.094883,2.235798,0.737724,1.20869,0.766547,0,elliptical
0.183748,11.135261,1.291664,0.947986,0.937301,0.894196,0,elliptical
0.096834,11.692317,6.603106,0.860875,3.636972,0.859512,0,elliptical
0.060124,10.68085,5.792658,0.544773,3.787575,0.474886,1,spiral
0.138392,11.545836,6.694367,0.845116,3.015319,0.858777,0,elliptical
0.114731,10.739273,11.286057,0.399911,4.313951,0.426717,1,spiral
